----------------------------- MORE -----------------------------

| Naziv : More 392 | P = 535 | S = 268 | MSV = 2 | kTezine = 572437 |
| Naziv : More 490 | P = 490 | S = 543 | MSV = 7 | kTezine = 507.611 |
| Naziv : More 183 | P = 398 | S = 352 | MSV = 10 | kTezine = 507.38 |
| Naziv : More 369 | P = 588 | S = 879 | MSV = 3 | kTezine = 506.214 |
| Naziv : More 381 | P = 310 | S = 345 | MSV = 2 | kTezine = 505.789 |
| Naziv : More 186 | P = 495 | S = 536 | MSV = 10 | kTezine = 503.649 |
| Naziv : More 48 | P = 502 | S = 585 | MSV = 6 | kTezine = 502.668 |
| Naziv : More 732 | P = 454 | S = 486 | MSV = 6 | kTezine = 502.314 |
| Naziv : More 706 | P = 399 | S = 374 | MSV = 7 | kTezine = 502.211 |
| Naziv : More 70 | P = 640 | S = 880 | MSV = 10 | kTezine = 501.961 |
| Naziv : More 83 | P = 442 | S = 842 | MSV = 1 | kTezine = 488.41 |
| Naziv : More 28 | P = 592 | S = 780 | MSV = 10 | kTezine = 486.215 |
| Naziv : More 223 | P = 444 | S = 457 | MSV = 9 | kTezine = 483.572 |
| Naziv : More 358 | P = 583 | S = 818 | MSV = 6 | kTezine = 471.522 |
| Naziv : More 648 | P = 244 | S = 371 | MSV = 1 | kTezine = 468.787 |
| Naziv : More 357 | P = 336 | S = 290 | MSV = 7 | kTezine = 466.512 |
| Naziv : More 495 | P = 465 | S = 530 | MSV = 7 | kTezine = 466.433 |
| Naziv : More 482 | P = 346 | S = 327 | MSV = 5 | kTezine = 464.376 |
| Naziv : More 573 | P = 559 | S = 795 | MSV = 5 | kTezine = 457.379 |
| Naziv : More 518 | P = 502 | S = 680 | MSV = 4 | kTezine = 454.471 |
| Naziv : More 119 | P = 457 | S = 692 | MSV = 2 | kTezine = 450.591 |
| Naziv : More 29 | P = 569 | S = 784 | MSV = 9 | kTezine = 449.183 |
| Naziv : More 430 | P = 609 | S = 888 | MSV = 10 | kTezine = 448.411 |
| Naziv : More 748 | P = 408 | S = 434 | MSV = 7 | kTezine = 443.06 |
| Naziv : More 466 | P = 346 | S = 304 | MSV = 11 | kTezine = 439.252 |
| Naziv : More 244 | P = 621 | S = 949 | MSV = 10 | kTezine = 434.819 |
| Naziv : More 632 | P = 581 | S = 837 | MSV = 10 | kTezine = 433.382 |
| Naziv : More 9 | P = 557 | S = 875 | MSV = 4 | kTezine = 421.677 |
| Naziv : More 75 | P = 445 | S = 516 | MSV = 11 | kTezine = 416.417 |
| Naziv : More 161 | P = 427 | S = 586 | MSV = 3 | kTezine = 410.959 |
| Naziv : More 411 | P = 363 | S = 368 | MSV = 8 | kTezine = 408.428 |
| Naziv : More 390 | P = 362 | S = 365 | MSV = 9 | kTezine = 403.488 |
| Naziv : More 266 | P = 387 | S = 450 | MSV = 5 | kTezine = 401.957 |
| Naziv : More 402 | P = 391 | S = 481 | MSV = 4 | kTezine = 398.907 |
| Naziv : More 767 | P = 538 | S = 797 | MSV = 9 | kTezine = 392.614 |
| Naziv : More 33 | P = 464 | S = 596 | MSV = 10 | kTezine = 391.732 |
| Naziv : More 360 | P = 566 | S = 872 | MSV = 11 | kTezine = 390.418 |
| Naziv : More 87 | P = 487 | S = 853 | MSV = 2 | kTezine = 389.121 |
| Naziv : More 510 | P = 486 | S = 658 | MSV = 10 | kTezine = 387.588 |
| Naziv : More 413 | P = 503 | S = 830 | MSV = 3 | kTezine = 381.996 |
| Naziv : More 141 | P = 480 | S = 680 | MSV = 7 | kTezine = 376.822 |
| Naziv : More 287 | P = 267 | S = 224 | MSV = 8 | kTezine = 373.975 |
| Naziv : More 133 | P = 483 | S = 785 | MSV = 3 | kTezine = 373.861 |
| Naziv : More 755 | P = 542 | S = 838 | MSV = 11 | kTezine = 372.453 |
| Naziv : More 196 | P = 115 | S = 151 | MSV = 1 | kTezine = 367.361 |
| Naziv : More 578 | P = 420 | S = 553 | MSV = 6 | kTezine = 365.217 |
| Naziv : More 66 | P = 550 | S = 907 | MSV = 7 | kTezine = 365.149 |
| Naziv : More 86 | P = 271 | S = 247 | MSV = 6 | kTezine = 363.87 |
| Naziv : More 736 | P = 509 | S = 790 | MSV = 7 | kTezine = 361.196 |
| Naziv : More 189 | P = 349 | S = 454 | MSV = 3 | kTezine = 360.714 |
| Naziv : More 323 | P = 492 | S = 800 | MSV = 4 | kTezine = 357.554 |
| Naziv : More 55 | P = 429 | S = 564 | MSV = 10 | kTezine = 353.178 |
| Naziv : More 205 | P = 399 | S = 498 | MSV = 10 | kTezine = 347.525 |
| Naziv : More 117 | P = 556 | S = 998 | MSV = 7 | kTezine = 336.54 |
| Naziv : More 300 | P = 326 | S = 383 | MSV = 5 | kTezine = 334.412 |
| Naziv : More 761 | P = 248 | S = 432 | MSV = 1 | kTezine = 334.261 |
| Naziv : More 725 | P = 475 | S = 917 | MSV = 2 | kTezine = 332.046 |
| Naziv : More 57 | P = 394 | S = 522 | MSV = 8 | kTezine = 328.368 |
| Naziv : More 91 | P = 194 | S = 133 | MSV = 11 | kTezine = 326.238 |
| Naziv : More 267 | P = 515 | S = 942 | MSV = 4 | kTezine = 326.13 |
| Naziv : More 325 | P = 519 | S = 897 | MSV = 9 | kTezine = 320.923 |
| Naziv : More 471 | P = 420 | S = 616 | MSV = 7 | kTezine = 317.266 |
| Naziv : More 156 | P = 288 | S = 323 | MSV = 5 | kTezine = 312.525 |
| Naziv : More 629 | P = 457 | S = 760 | MSV = 7 | kTezine = 300.626 |
| Naziv : More 653 | P = 510 | S = 922 | MSV = 10 | kTezine = 298.622 |
| Naziv : More 21 | P = 408 | S = 645 | MSV = 5 | kTezine = 295.463 |
| Naziv : More 206 | P = 503 | S = 924 | MSV = 9 | kTezine = 291.448 |
| Naziv : More 431 | P = 474 | S = 852 | MSV = 6 | kTezine = 290.655 |
| Naziv : More 683 | P = 193 | S = 193 | MSV = 3 | kTezine = 289.5 |
| Naziv : More 561 | P = 386 | S = 570 | MSV = 8 | kTezine = 285.57 |
| Naziv : More 290 | P = 203 | S = 171 | MSV = 8 | kTezine = 282.98 |
| Naziv : More 374 | P = 377 | S = 544 | MSV = 10 | kTezine = 280.721 |
| Naziv : More 227 | P = 361 | S = 501 | MSV = 10 | kTezine = 280.32 |
| Naziv : More 606 | P = 135 | S = 82 | MSV = 8 | kTezine = 279.846 |
| Naziv : More 341 | P = 377 | S = 606 | MSV = 4 | kTezine = 277.731 |
| Naziv : More 18 | P = 482 | S = 907 | MSV = 10 | kTezine = 270.522 |
| Naziv : More 439 | P = 416 | S = 692 | MSV = 8 | kTezine = 270.4 |
| Naziv : More 659 | P = 401 | S = 662 | MSV = 6 | kTezine = 270.178 |
| Naziv : More 428 | P = 344 | S = 481 | MSV = 9 | kTezine = 267.258 |
| Naziv : More 609 | P = 332 | S = 450 | MSV = 10 | kTezine = 264.453 |
| Naziv : More 173 | P = 216 | S = 220 | MSV = 5 | kTezine = 263.891 |
| Naziv : More 692 | P = 327 | S = 733 | MSV = 1 | kTezine = 263.372 |
| Naziv : More 523 | P = 380 | S = 599 | MSV = 10 | kTezine = 257.397 |
| Naziv : More 142 | P = 437 | S = 799 | MSV = 8 | kTezine = 256.549 |
| Naziv : More 640 | P = 353 | S = 843 | MSV = 1 | kTezine = 254.304 |
| Naziv : More 382 | P = 461 | S = 912 | MSV = 7 | kTezine = 251.164 |
| Naziv : More 602 | P = 431 | S = 797 | MSV = 11 | kTezine = 245.126 |
| Naziv : More 150 | P = 226 | S = 243 | MSV = 8 | kTezine = 237.839 |
| Naziv : More 470 | P = 413 | S = 774 | MSV = 9 | kTezine = 234.262 |
| Naziv : More 614 | P = 227 | S = 252 | MSV = 8 | kTezine = 230.426 |
| Naziv : More 121 | P = 409 | S = 769 | MSV = 11 | kTezine = 228.583 |
| Naziv : More 373 | P = 399 | S = 741 | MSV = 10 | kTezine = 227.073 |
| Naziv : More 349 | P = 241 | S = 500 | MSV = 1 | kTezine = 224.251 |
| Naziv : More 569 | P = 420 | S = 932 | MSV = 3 | kTezine = 222.727 |
| Naziv : More 398 | P = 319 | S = 571 | MSV = 3 | kTezine = 218.998 |
| Naziv : More 301 | P = 347 | S = 583 | MSV = 11 | kTezine = 218.348 |
| Naziv : More 44 | P = 340 | S = 575 | MSV = 9 | kTezine = 215.181 |
| Naziv : More 716 | P = 436 | S = 925 | MSV = 11 | kTezine = 214.71 |
| Naziv : More 492 | P = 386 | S = 888 | MSV = 2 | kTezine = 214.383 |
| Naziv : More 615 | P = 399 | S = 944 | MSV = 2 | kTezine = 213.836 |
| Naziv : More 700 | P = 291 | S = 433 | MSV = 8 | kTezine = 213.504 |
| Naziv : More 721 | P = 355 | S = 665 | MSV = 5 | kTezine = 212.163 |
| Naziv : More 463 | P = 344 | S = 730 | MSV = 2 | kTezine = 212.072 |
| Naziv : More 724 | P = 337 | S = 576 | MSV = 10 | kTezine = 209.421 |
| Naziv : More 572 | P = 179 | S = 176 | MSV = 8 | kTezine = 208.566 |
| Naziv : More 750 | P = 256 | S = 341 | MSV = 11 | kTezine = 206.265 |
| Naziv : More 529 | P = 373 | S = 784 | MSV = 4 | kTezine = 201.417 |
| Naziv : More 105 | P = 422 | S = 980 | MSV = 5 | kTezine = 198.843 |
| Naziv : More 624 | P = 370 | S = 808 | MSV = 4 | kTezine = 191.335 |
| Naziv : More 707 | P = 190 | S = 290 | MSV = 2 | kTezine = 185.128 |
| Naziv : More 352 | P = 335 | S = 649 | MSV = 9 | kTezine = 183.441 |
| Naziv : More 160 | P = 408 | S = 969 | MSV = 8 | kTezine = 181.333 |
| Naziv : More 726 | P = 395 | S = 919 | MSV = 8 | kTezine = 179.416 |
| Naziv : More 443 | P = 366 | S = 817 | MSV = 7 | kTezine = 175.171 |
| Naziv : More 103 | P = 330 | S = 960 | MSV = 1 | kTezine = 172.857 |
| Naziv : More 299 | P = 354 | S = 769 | MSV = 10 | kTezine = 170.823 |
| Naziv : More 179 | P = 374 | S = 902 | MSV = 6 | kTezine = 166.585 |
| Naziv : More 280 | P = 357 | S = 893 | MSV = 3 | kTezine = 164.663 |
| Naziv : More 241 | P = 371 | S = 956 | MSV = 5 | kTezine = 156.091 |
| Naziv : More 375 | P = 330 | S = 781 | MSV = 4 | kTezine = 155.906 |
| Naziv : More 508 | P = 132 | S = 157 | MSV = 3 | kTezine = 154.195 |
| Naziv : More 359 | P = 340 | S = 794 | MSV = 10 | kTezine = 152.105 |
| Naziv : More 462 | P = 311 | S = 748 | MSV = 3 | kTezine = 150.11 |
| Naziv : More 143 | P = 339 | S = 813 | MSV = 8 | kTezine = 149.127 |
| Naziv : More 734 | P = 371 | S = 965 | MSV = 9 | kTezine = 148.998 |
| Naziv : More 465 | P = 364 | S = 991 | MSV = 4 | kTezine = 147.218 |
| Naziv : More 528 | P = 351 | S = 900 | MSV = 6 | kTezine = 146.406 |
| Naziv : More 322 | P = 279 | S = 586 | MSV = 10 | kTezine = 139.475 |
| Naziv : More 164 | P = 229 | S = 406 | MSV = 11 | kTezine = 136.146 |
| Naziv : More 525 | P = 291 | S = 696 | MSV = 5 | kTezine = 132.77 |
| Naziv : More 255 | P = 148 | S = 215 | MSV = 3 | kTezine = 132.217 |
| Naziv : More 666 | P = 241 | S = 474 | MSV = 9 | kTezine = 129.871 |
| Naziv : More 131 | P = 148 | S = 192 | MSV = 7 | kTezine = 128.201 |
| Naziv : More 336 | P = 289 | S = 950 | MSV = 1 | kTezine = 126.356 |
| Naziv : More 604 | P = 289 | S = 751 | MSV = 4 | kTezine = 123.051 |
| Naziv : More 537 | P = 295 | S = 781 | MSV = 4 | kTezine = 123.047 |
| Naziv : More 306 | P = 289 | S = 712 | MSV = 10 | kTezine = 122.268 |
| Naziv : More 445 | P = 297 | S = 782 | MSV = 5 | kTezine = 122.072 |
| Naziv : More 491 | P = 323 | S = 891 | MSV = 10 | kTezine = 121.496 |
| Naziv : More 209 | P = 304 | S = 800 | MSV = 9 | kTezine = 120.613 |
| Naziv : More 598 | P = 297 | S = 766 | MSV = 9 | kTezine = 120.34 |
| Naziv : More 532 | P = 307 | S = 841 | MSV = 10 | kTezine = 116.314 |
| Naziv : More 493 | P = 323 | S = 978 | MSV = 6 | kTezine = 112.89 |
| Naziv : More 509 | P = 248 | S = 609 | MSV = 4 | kTezine = 112.439 |
| Naziv : More 272 | P = 216 | S = 460 | MSV = 6 | kTezine = 110.038 |
| Naziv : More 232 | P = 251 | S = 619 | MSV = 6 | kTezine = 109.156 |
| Naziv : More 588 | P = 228 | S = 625 | MSV = 2 | kTezine = 101.73 |
| Naziv : More 240 | P = 298 | S = 922 | MSV = 9 | kTezine = 99.9045 |
| Naziv : More 776 | P = 307 | S = 978 | MSV = 9 | kTezine = 99.8518 |
| Naziv : More 268 | P = 195 | S = 576 | MSV = 1 | kTezine = 99.8031 |
| Naziv : More 617 | P = 292 | S = 888 | MSV = 11 | kTezine = 98.9768 |
| Naziv : More 417 | P = 121 | S = 161 | MSV = 10 | kTezine = 98.3277 |
| Naziv : More 448 | P = 263 | S = 750 | MSV = 9 | kTezine = 95.9644 |
| Naziv : More 11 | P = 246 | S = 688 | MSV = 5 | kTezine = 94.7339 |
| Naziv : More 712 | P = 278 | S = 887 | MSV = 4 | kTezine = 94.537 |
| Naziv : More 436 | P = 180 | S = 372 | MSV = 8 | kTezine = 92.7039 |
| Naziv : More 340 | P = 283 | S = 893 | MSV = 10 | kTezine = 92.6206 |
| Naziv : More 739 | P = 289 | S = 969 | MSV = 8 | kTezine = 89.5307 |
| Naziv : More 627 | P = 280 | S = 976 | MSV = 3 | kTezine = 88.8218 |
| Naziv : More 140 | P = 250 | S = 753 | MSV = 7 | kTezine = 87.134 |
| Naziv : More 324 | P = 254 | S = 777 | MSV = 7 | kTezine = 87.0997 |
| Naziv : More 222 | P = 183 | S = 408 | MSV = 8 | kTezine = 86.9562 |
| Naziv : More 64 | P = 210 | S = 533 | MSV = 9 | kTezine = 86.5271 |
| Naziv : More 676 | P = 253 | S = 781 | MSV = 7 | kTezine = 85.9346 |
| Naziv : More 403 | P = 237 | S = 689 | MSV = 8 | kTezine = 85.1852 |
| Naziv : More 705 | P = 247 | S = 803 | MSV = 5 | kTezine = 80.9567 |
| Naziv : More 195 | P = 216 | S = 641 | MSV = 5 | kTezine = 78.0462 |
| Naziv : More 389 | P = 227 | S = 705 | MSV = 6 | kTezine = 77.2356 |
| Naziv : More 516 | P = 259 | S = 920 | MSV = 6 | kTezine = 76.5037 |
| Naziv : More 110 | P = 199 | S = 539 | MSV = 11 | kTezine = 76.0229 |
| Naziv : More 414 | P = 182 | S = 455 | MSV = 10 | kTezine = 75.8333 |
| Naziv : More 503 | P = 242 | S = 934 | MSV = 2 | kTezine = 72.0344 |
| Naziv : More 154 | P = 82 | S = 121 | MSV = 3 | kTezine = 71.7865 |
| Naziv : More 134 | P = 256 | S = 985 | MSV = 4 | kTezine = 71.1574 |
| Naziv : More 292 | P = 33 | S = 22 | MSV = 5 | kTezine = 70.7143 |
| Naziv : More 401 | P = 118 | S = 219 | MSV = 7 | kTezine = 68.882 |
| Naziv : More 612 | P = 119 | S = 217 | MSV = 11 | kTezine = 68.6821 |
| Naziv : More 585 | P = 226 | S = 805 | MSV = 8 | kTezine = 65.756 |
| Naziv : More 313 | P = 221 | S = 804 | MSV = 6 | kTezine = 63.6641 |
| Naziv : More 95 | P = 192 | S = 620 | MSV = 5 | kTezine = 63.3838 |
| Naziv : More 318 | P = 201 | S = 765 | MSV = 2 | kTezine = 60.7991 |
| Naziv : More 39 | P = 222 | S = 866 | MSV = 6 | kTezine = 59.4499 |
| Naziv : More 366 | P = 178 | S = 578 | MSV = 5 | kTezine = 58.4145 |
| Naziv : More 546 | P = 209 | S = 782 | MSV = 8 | kTezine = 57.7887 |
| Naziv : More 120 | P = 210 | S = 803 | MSV = 7 | kTezine = 57.0505 |
| Naziv : More 483 | P = 211 | S = 887 | MSV = 3 | kTezine = 54.5155 |
| Naziv : More 155 | P = 218 | S = 918 | MSV = 6 | kTezine = 53.9025 |
| Naziv : More 372 | P = 91 | S = 175 | MSV = 6 | kTezine = 51.8102 |
| Naziv : More 535 | P = 222 | S = 982 | MSV = 11 | kTezine = 51.2405 |
| Naziv : More 697 | P = 191 | S = 734 | MSV = 9 | kTezine = 51.1814 |
| Naziv : More 553 | P = 204 | S = 906 | MSV = 10 | kTezine = 46.9919 |
| Naziv : More 649 | P = 118 | S = 385 | MSV = 4 | kTezine = 39.1674 |
| Naziv : More 6 | P = 183 | S = 988 | MSV = 2 | kTezine = 37.3553 |
| Naziv : More 677 | P = 101 | S = 289 | MSV = 9 | kTezine = 36.7236 |
| Naziv : More 709 | P = 138 | S = 679 | MSV = 1 | kTezine = 35.2015 |
| Naziv : More 451 | P = 107 | S = 468 | MSV = 1 | kTezine = 31.7147 |
| Naziv : More 79 | P = 110 | S = 397 | MSV = 11 | kTezine = 31.2661 |
| Naziv : More 61 | P = 140 | S = 643 | MSV = 11 | kTezine = 31.0977 |
| Naziv : More 274 | P = 165 | S = 941 | MSV = 8 | kTezine = 29.5803 |
| Naziv : More 730 | P = 127 | S = 578 | MSV = 4 | kTezine = 29.5268 |
| Naziv : More 486 | P = 91 | S = 315 | MSV = 3 | kTezine = 29.0902 |
| Naziv : More 80 | P = 159 | S = 903 | MSV = 10 | kTezine = 28.4985 |
| Naziv : More 97 | P = 133 | S = 641 | MSV = 8 | kTezine = 28.3307 |
| Naziv : More 534 | P = 132 | S = 683 | MSV = 2 | kTezine = 28.2399 |
| Naziv : More 96 | P = 113 | S = 510 | MSV = 3 | kTezine = 27.0339 |
| Naziv : More 568 | P = 54 | S = 118 | MSV = 6 | kTezine = 26.7523 |
| Naziv : More 749 | P = 134 | S = 694 | MSV = 7 | kTezine = 26.6071 |
| Naziv : More 409 | P = 139 | S = 743 | MSV = 9 | kTezine = 26.556 |
| Naziv : More 7 | P = 81 | S = 276 | MSV = 4 | kTezine = 25.654 |
| Naziv : More 497 | P = 78 | S = 278 | MSV = 2 | kTezine = 25.4561 |
| Naziv : More 575 | P = 121 | S = 641 | MSV = 2 | kTezine = 25.2214 |
| Naziv : More 305 | P = 91 | S = 428 | MSV = 1 | kTezine = 24.5727 |
| Naziv : More 104 | P = 67 | S = 250 | MSV = 1 | kTezine = 24.5301 |
| Naziv : More 587 | P = 110 | S = 602 | MSV = 2 | kTezine = 22.1207 |
| Naziv : More 219 | P = 101 | S = 497 | MSV = 7 | kTezine = 21.1388 |
| Naziv : More 180 | P = 130 | S = 924 | MSV = 7 | kTezine = 18.6652 |
| Naziv : More 621 | P = 89 | S = 436 | MSV = 10 | kTezine = 18.546 |
| Naziv : More 217 | P = 119 | S = 881 | MSV = 2 | kTezine = 17.238 |
| Naziv : More 370 | P = 125 | S = 935 | MSV = 8 | kTezine = 16.9952 |
| Naziv : More 599 | P = 109 | S = 800 | MSV = 2 | kTezine = 15.937 |
| Naziv : More 139 | P = 117 | S = 987 | MSV = 2 | kTezine = 14.7431 |
| Naziv : More 169 | P = 98 | S = 666 | MSV = 9 | kTezine = 14.6601 |
| Naziv : More 703 | P = 111 | S = 914 | MSV = 8 | kTezine = 13.6881 |
| Naziv : More 678 | P = 109 | S = 925 | MSV = 10 | kTezine = 12.9975 |
| Naziv : More 758 | P = 100 | S = 780 | MSV = 11 | kTezine = 12.9717 |
| Naziv : More 100 | P = 110 | S = 962 | MSV = 8 | kTezine = 12.7603 |
| Naziv : More 332 | P = 45 | S = 230 | MSV = 1 | kTezine = 10.9459 |
| Naziv : More 334 | P = 94 | S = 845 | MSV = 10 | kTezine = 10.5744 |
| Naziv : More 515 | P = 41 | S = 167 | MSV = 6 | kTezine = 10.4953 |
| Naziv : More 331 | P = 33 | S = 111 | MSV = 9 | kTezine = 10.146 |
| Naziv : More 162 | P = 58 | S = 347 | MSV = 11 | kTezine = 9.84411 |
| Naziv : More 122 | P = 68 | S = 548 | MSV = 2 | kTezine = 8.99611 |
| Naziv : More 771 | P = 68 | S = 547 | MSV = 4 | kTezine = 8.72453 |
| Naziv : More 476 | P = 68 | S = 541 | MSV = 11 | kTezine = 8.64593 |
| Naziv : More 708 | P = 63 | S = 478 | MSV = 6 | kTezine = 8.48984 |
| Naziv : More 81 | P = 25 | S = 107 | MSV = 1 | kTezine = 7.62195 |
| Naziv : More 406 | P = 83 | S = 955 | MSV = 3 | kTezine = 7.42883 |
| Naziv : More 564 | P = 77 | S = 836 | MSV = 3 | kTezine = 7.31674 |
| Naziv : More 32 | P = 66 | S = 671 | MSV = 1 | kTezine = 7.2 |
| Naziv : More 646 | P = 74 | S = 770 | MSV = 8 | kTezine = 7.19816 |
| Naziv : More 454 | P = 56 | S = 477 | MSV = 2 | kTezine = 6.98441 |
| Naziv : More 663 | P = 65 | S = 639 | MSV = 8 | kTezine = 6.69705 |
| Naziv : More 303 | P = 53 | S = 441 | MSV = 10 | kTezine = 6.4471 |
| Naziv : More 282 | P = 71 | S = 878 | MSV = 11 | kTezine = 5.78398 |
| Naziv : More 211 | P = 33 | S = 211 | MSV = 3 | kTezine = 5.445 |
| Naziv : More 699 | P = 61 | S = 708 | MSV = 7 | kTezine = 5.32114 |
| Naziv : More 684 | P = 35 | S = 242 | MSV = 7 | kTezine = 5.16878 |
| Naziv : More 114 | P = 13 | S = 34 | MSV = 10 | kTezine = 5.1682 |
| Naziv : More 295 | P = 39 | S = 319 | MSV = 7 | kTezine = 4.85278 |
| Naziv : More 456 | P = 62 | S = 813 | MSV = 8 | kTezine = 4.77367 |
| Naziv : More 387 | P = 45 | S = 445 | MSV = 9 | kTezine = 4.60227 |
| Naziv : More 311 | P = 27 | S = 177 | MSV = 11 | kTezine = 4.17656 |
| Naziv : More 694 | P = 42 | S = 454 | MSV = 10 | kTezine = 3.92174 |
| Naziv : More 53 | P = 52 | S = 703 | MSV = 8 | kTezine = 3.88227 |
| Naziv : More 276 | P = 59 | S = 959 | MSV = 10 | kTezine = 3.65229 |
| Naziv : More 190 | P = 27 | S = 229 | MSV = 10 | kTezine = 3.22139 |
| Naziv : More 664 | P = 41 | S = 543 | MSV = 2 | kTezine = 3.21722 |
| Naziv : More 350 | P = 37 | S = 439 | MSV = 7 | kTezine = 3.15646 |
| Naziv : More 101 | P = 53 | S = 930 | MSV = 11 | kTezine = 3.03616 |
| Naziv : More 146 | P = 53 | S = 946 | MSV = 6 | kTezine = 2.99733 |
| Naziv : More 17 | P = 23 | S = 183 | MSV = 6 | kTezine = 2.95256 |
| Naziv : More 147 | P = 46 | S = 993 | MSV = 3 | kTezine = 2.16434 |
| Naziv : More 658 | P = 32 | S = 534 | MSV = 3 | kTezine = 1.95669 |
| Naziv : More 106 | P = 36 | S = 887 | MSV = 1 | kTezine = 1.52291 |
| Naziv : More 608 | P = 26 | S = 525 | MSV = 3 | kTezine = 1.30923 |
| Naziv : More 710 | P = 32 | S = 962 | MSV = 1 | kTezine = 1.10108 |
| Naziv : More 130 | P = 11 | S = 115 | MSV = 10 | kTezine = 1.06234 |
| Naziv : More 112 | P = 27 | S = 719 | MSV = 2 | kTezine = 1.03331 |
| Naziv : More 367 | P = 30 | S = 908 | MSV = 2 | kTezine = 1.00784 |
| Naziv : More 327 | P = 26 | S = 709 | MSV = 2 | kTezine = 0.971264 |
| Naziv : More 213 | P = 22 | S = 521 | MSV = 1 | kTezine = 0.96994 |
| Naziv : More 682 | P = 27 | S = 784 | MSV = 4 | kTezine = 0.937922 |
| Naziv : More 385 | P = 24 | S = 638 | MSV = 10 | kTezine = 0.90623 |
| Naziv : More 46 | P = 29 | S = 946 | MSV = 4 | kTezine = 0.895872 |
| Naziv : More 40 | P = 28 | S = 935 | MSV = 1 | kTezine = 0.864388 |
| Naziv : More 291 | P = 22 | S = 796 | MSV = 1 | kTezine = 0.625323 |
| Naziv : More 616 | P = 20 | S = 675 | MSV = 11 | kTezine = 0.594193 |
| Naziv : More 31 | P = 9 | S = 208 | MSV = 4 | kTezine = 0.393682 |
| Naziv : More 464 | P = 13 | S = 443 | MSV = 6 | kTezine = 0.383365 |
| Naziv : More 626 | P = 10 | S = 465 | MSV = 3 | kTezine = 0.216606 |
| Naziv : More 85 | P = 7 | S = 300 | MSV = 7 | kTezine = 0.16388 |
| Naziv : More 638 | P = 7 | S = 428 | MSV = 11 | kTezine = 0.114656 |
| Naziv : More 421 | P = 7 | S = 548 | MSV = 1 | kTezine = 0.090573 |
| Naziv : More 328 | P = 4 | S = 953 | MSV = 8 | kTezine = 0.0167979 |
| Naziv : More 254 | P = 1 | S = 170 | MSV = 10 | kTezine = 0.00588582 |
| Naziv : More 619 | P = 1 | S = 477 | MSV = 9 | kTezine = 0.00209692 |
| Naziv : More 264 | P = 4 | S = 209 | MSV = 0 | kTezine = -0 |
| Naziv : More 713 | P = 612 | S = 941 | MSV = 0 | kTezine = -0 |
| Naziv : More 218 | P = 199 | S = 278 | MSV = 0 | kTezine = -0 |
| Naziv : More 286 | P = 221 | S = 13 | MSV = 0 | kTezine = -0 |
| Naziv : More 458 | P = 593 | S = 519 | MSV = 0 | kTezine = -0 |
| Naziv : More 718 | P = 542 | S = 925 | MSV = 0 | kTezine = -0 |
| Naziv : More 545 | P = 620 | S = 508 | MSV = 0 | kTezine = -0 |
| Naziv : More 720 | P = 564 | S = 439 | MSV = 0 | kTezine = -0 |
| Naziv : More 656 | P = 679 | S = 933 | MSV = 0 | kTezine = -0 |
| Naziv : More 722 | P = 633 | S = 271 | MSV = 0 | kTezine = -0 |
| Naziv : More 459 | P = 653 | S = 571 | MSV = 0 | kTezine = -0 |
| Naziv : More 246 | P = 685 | S = 745 | MSV = 0 | kTezine = -0 |
| Naziv : More 289 | P = 589 | S = 837 | MSV = 0 | kTezine = -0 |
| Naziv : More 208 | P = 214 | S = 939 | MSV = 0 | kTezine = -0 |
| Naziv : More 337 | P = 198 | S = 427 | MSV = 0 | kTezine = -0 |
| Naziv : More 14 | P = 250 | S = 416 | MSV = 0 | kTezine = -0 |
| Naziv : More 607 | P = 876 | S = 179 | MSV = 0 | kTezine = -0 |
| Naziv : More 425 | P = 491 | S = 100 | MSV = 0 | kTezine = -0 |
| Naziv : More 314 | P = 884 | S = 672 | MSV = 0 | kTezine = -0 |
| Naziv : More 249 | P = 384 | S = 698 | MSV = 0 | kTezine = -0 |
| Naziv : More 316 | P = 839 | S = 810 | MSV = 0 | kTezine = -0 |
| Naziv : More 735 | P = 51 | S = 535 | MSV = 0 | kTezine = -0 |
| Naziv : More 613 | P = 142 | S = 229 | MSV = 0 | kTezine = -0 |
| Naziv : More 234 | P = 143 | S = 852 | MSV = 0 | kTezine = -0 |
| Naziv : More 738 | P = 748 | S = 916 | MSV = 0 | kTezine = -0 |
| Naziv : More 674 | P = 485 | S = 143 | MSV = 0 | kTezine = -0 |
| Naziv : More 175 | P = 127 | S = 33 | MSV = 0 | kTezine = -0 |
| Naziv : More 473 | P = 278 | S = 429 | MSV = 0 | kTezine = -0 |
| Naziv : More 562 | P = 937 | S = 908 | MSV = 0 | kTezine = -0 |
| Naziv : More 433 | P = 687 | S = 325 | MSV = 0 | kTezine = -0 |
| Naziv : More 434 | P = 251 | S = 566 | MSV = 0 | kTezine = -0 |
| Naziv : More 681 | P = 645 | S = 655 | MSV = 0 | kTezine = -0 |
| Naziv : More 747 | P = 426 | S = 189 | MSV = 0 | kTezine = -0 |
| Naziv : More 567 | P = 412 | S = 546 | MSV = 0 | kTezine = -0 |
